"channel","pitch","tick_on","tick_off","dur_ticks","velocity"
0,35,179520,180001,481,35
0,38,0,480,480,57
0,38,74880,75360,480,57
0,38,164881,165000,119,45
0,38,240000,240480,480,55
0,38,260640,260761,121,49
0,38,260881,261000,119,44
0,38,263041,263520,479,59
0,38,288961,289441,480,35
0,40,51600,51720,120,58
0,40,126481,126601,120,58
0,40,157200,157320,120,45
0,40,164400,164520,120,52
0,40,164640,164881,241,51
0,40,239760,239880,120,51
0,40,260161,260281,120,49
0,40,260400,260521,121,42
0,41,69600,69841,241,52
0,41,144480,144720,240,52
0,41,170881,171840,959,56
0,42,70080,70321,241,52
0,42,144960,145201,241,52
0,42,156721,156841,120,52
0,42,156960,157200,240,51
0,42,163921,164040,119,59
0,42,164161,164400,239,61
0,42,171840,172800,960,51
0,42,177602,178560,958,40
0,42,179040,179520,480,39
0,42,183360,183840,480,32
0,42,239520,239640,120,48
0,42,259680,259800,120,49
0,42,259921,260041,120,40
0,43,156241,156361,120,59
0,43,156480,156721,241,61
0,43,163441,163561,120,62
0,43,163681,163921,240,67
0,43,182400,183360,960,32
0,43,239280,239400,120,45
0,43,261120,261241,121,49
0,43,261600,261720,120,49
0,43,286080,287040,960,40
0,44,51361,51480,119,60
0,44,126241,126360,119,60
0,44,167040,168001,961,56
0,45,0,480,480,57
0,45,24242,24480,238,44
0,45,26162,26400,238,47
0,45,26880,27120,240,50
0,45,27842,28080,238,51
0,45,29041,29131,90,45
0,45,29282,29371,89,45
0,45,29521,29612,91,45
0,45,29761,30180,419,49
0,45,50642,50761,119,57
0,45,51120,51240,120,58
0,45,51840,52320,480,60
0,45,73920,74400,480,35
0,45,74880,75360,480,57
0,45,99121,99361,240,44
0,45,101040,101280,240,47
0,45,101761,102000,239,50
0,45,102721,102960,239,51
0,45,103921,104010,89,45
0,45,104161,104251,90,45
0,45,104402,104492,90,45
0,45,104640,105060,420,49
0,45,125520,125640,120,57
0,45,126001,126120,119,58
0,45,126720,127201,481,60
0,45,148801,149280,479,35
0,45,155761,155880,119,62
0,45,156001,156241,240,67
0,45,159360,161280,1920,44
0,45,163200,163441,241,69
0,45,181440,181921,481,49
0,45,218162,218400,238,46
0,45,220080,220320,240,49
0,45,220800,221040,240,50
0,45,221762,222001,239,51
0,45,222960,223050,90,45
0,45,223200,223290,90,45
0,45,223441,223531,90,45
0,45,223681,224101,420,49
0,45,247440,247560,120,58
0,45,262080,262201,121,42
0,45,262561,262680,119,48
0,45,263041,263520,479,59
0,45,287040,288000,960,40
0,45,288480,288961,481,39
0,46,168001,168960,959,51
0,46,284640,284880,240,52
0,47,50881,51000,119,63
0,47,125760,125881,121,63
0,47,151682,153600,1918,44
0,47,155521,155761,240,69
0,47,178560,179040,480,39
0,47,180480,181440,960,54
0,47,261360,261480,120,42
0,47,261842,261960,118,42
0,47,285120,285361,241,52
0,48,190080,190200,120,37
0,48,190561,190680,119,37
0,48,197761,197880,119,37
0,48,198240,198361,121,37
0,49,24000,24242,242,50
0,49,25921,26162,241,54
0,49,29041,29131,90,45
0,49,29282,29371,89,45
0,49,29521,29612,91,45
0,49,29761,30180,419,49
0,49,98880,99121,241,50
0,49,100801,101040,239,54
0,49,103921,104010,89,45
0,49,104161,104251,90,45
0,49,104402,104492,90,45
0,49,104640,105060,420,49
0,49,204241,204360,119,42
0,49,205200,205320,120,42
0,49,217921,218162,241,52
0,49,219841,220080,239,56
0,49,222960,223050,90,45
0,49,223200,223290,90,45
0,49,223441,223531,90,45
0,49,223681,224101,420,49
0,49,247200,247321,121,60
0,49,262800,262920,120,42
0,50,0,480,480,69
0,50,4321,4560,239,38
0,50,5760,6240,480,42
0,50,10081,10320,239,38
0,50,18361,18492,131,36
0,50,23761,23880,119,40
0,50,24480,24601,121,44
0,50,25680,25800,120,45
0,50,26400,26521,121,48
0,50,27360,27601,241,51
0,50,28321,28560,239,52
0,50,42721,43201,480,30
0,50,57601,57720,119,45
0,50,58080,58201,121,45
0,50,65280,65401,121,45
0,50,65760,65880,120,45
0,50,71040,72001,961,40
0,50,74880,75360,480,69
0,50,79201,79442,241,38
0,50,80640,81121,481,42
0,50,84961,85202,241,38
0,50,93240,93372,132,36
0,50,98640,98760,120,40
0,50,99361,99480,119,44
0,50,100562,100680,118,45
0,50,101280,101400,120,48
0,50,102240,102480,240,51
0,50,103200,103440,240,52
0,50,117601,118080,479,30
0,50,132480,132601,121,45
0,50,132960,133080,120,45
0,50,140161,140280,119,45
0,50,140640,140761,121,45
0,50,145920,146881,961,40
0,50,191040,191161,121,32
0,50,191521,191641,120,36
0,50,198721,198840,119,32
0,50,199200,199320,120,36
0,50,204480,204960,480,44
0,50,205440,205920,480,45
0,50,217681,217800,119,42
0,50,218400,218521,121,46
0,50,219600,219720,120,47
0,50,220320,220441,121,50
0,50,221281,221520,239,51
0,50,222241,222480,239,52
0,50,240000,240480,480,65
0,50,246481,246600,119,57
0,50,246962,247081,119,58
0,50,247680,248160,480,60
0,50,256800,256920,120,35
0,50,257040,257160,120,31
0,50,259800,259921,121,40
0,50,260041,260161,120,40
0,50,260281,260400,119,42
0,50,260521,260640,119,42
0,50,260761,260881,120,44
0,50,261000,261120,120,44
0,50,262320,262442,122,45
0,50,263041,263520,479,70
0,50,267361,267600,239,38
0,50,268800,269280,480,42
0,50,273121,273362,241,38
0,50,288000,288480,480,39
0,51,206160,206281,121,45
0,51,207120,207241,121,45
0,52,4800,5041,241,37
0,52,10560,10801,241,37
0,52,18481,18612,131,37
0,52,26880,27120,240,50
0,52,27842,28080,238,51
0,52,29041,29131,90,45
0,52,29282,29371,89,45
0,52,29521,29612,91,45
0,52,29761,30180,419,49
0,52,34080,34320,240,30
0,52,36480,36722,242,34
0,52,37440,37920,480,33
0,52,41760,42000,240,30
0,52,43201,44160,959,30
0,52,47762,47880,118,51
0,52,58561,58680,119,39
0,52,59040,59160,120,44
0,52,66240,66361,121,39
0,52,66720,66841,121,44
0,52,67922,68041,119,46
0,52,68880,69001,121,46
0,52,72001,72960,959,40
0,52,73440,73920,480,39
0,52,79680,79920,240,37
0,52,85440,85680,240,37
0,52,93360,93492,132,37
0,52,101761,102000,239,50
0,52,102721,102960,239,51
0,52,103921,104010,89,45
0,52,104161,104251,90,45
0,52,104402,104492,90,45
0,52,104640,105060,420,49
0,52,108960,109200,240,30
0,52,111360,111601,241,34
0,52,112320,112801,481,33
0,52,116640,116880,240,30
0,52,118080,119041,961,30
0,52,122640,122760,120,53
0,52,133440,133561,121,39
0,52,133920,134041,121,44
0,52,141121,141242,121,39
0,52,141600,141720,120,44
0,52,142800,142920,120,46
0,52,143761,143881,120,46
0,52,146881,147840,959,40
0,52,148320,148801,481,39
0,52,190320,190441,121,32
0,52,190800,190920,120,32
0,52,198000,198120,120,32
0,52,198481,198601,120,32
0,52,203280,203400,120,39
0,52,206400,206880,480,47
0,52,207360,207840,480,51
0,52,208080,208201,121,46
0,52,209041,209160,119,48
0,52,220800,221040,240,50
0,52,221762,222001,239,51
0,52,222960,223050,90,45
0,52,223200,223290,90,45
0,52,223441,223531,90,45
0,52,223681,224101,420,49
0,52,239760,239880,120,61
0,52,246721,246840,119,63
0,52,256320,256440,120,35
0,52,256561,256680,119,30
0,52,261241,261360,119,42
0,52,261480,261600,120,42
0,52,261720,261842,122,42
0,52,261960,262080,120,42
0,52,267840,268081,241,37
0,52,273600,273840,240,37
0,53,69600,69841,241,63
0,53,144480,144720,240,63
0,53,170641,170760,119,52
0,53,170881,171840,959,66
0,53,175680,175801,121,45
0,53,176162,176280,118,45
0,54,3840,4081,241,38
0,54,9600,9841,241,38
0,54,17280,17400,120,37
0,54,17760,17880,120,37
0,54,18240,18372,132,43
0,54,18600,18732,132,38
0,54,20400,20520,120,31
0,54,20640,20761,121,31
0,54,20880,21001,121,31
0,54,23520,23641,121,40
0,54,24720,24841,121,44
0,54,25440,25560,120,45
0,54,26640,26760,120,48
0,54,27360,27601,241,51
0,54,28321,28560,239,52
0,54,36001,36241,240,29
0,54,57841,57960,119,39
0,54,58321,58441,120,39
0,54,65520,65640,120,39
0,54,66002,66120,118,39
0,54,70080,70321,241,63
0,54,78720,78961,241,38
0,54,84480,84721,241,38
0,54,92162,92280,118,37
0,54,92640,92760,120,37
0,54,93122,93252,130,43
0,54,93480,93613,133,38
0,54,95282,95400,118,31
0,54,95520,95640,120,31
0,54,95761,95882,121,31
0,54,98402,98521,119,40
0,54,99600,99722,122,44
0,54,100322,100442,120,45
0,54,101521,101640,119,48
0,54,102240,102480,240,51
0,54,103200,103440,240,52
0,54,110880,111120,240,29
0,54,132720,132840,120,39
0,54,133202,133320,118,39
0,54,140401,140520,119,39
0,54,140881,141001,120,39
0,54,144960,145201,241,63
0,54,170161,170281,120,50
0,54,170400,170641,241,60
0,54,171840,172800,960,61
0,54,174720,174841,121,45
0,54,175200,175321,121,45
0,54,176640,177602,962,40
0,54,183360,183840,480,38
0,54,191760,191880,120,32
0,54,199442,199561,119,32
0,54,200401,200520,119,40
0,54,201360,201480,120,39
0,54,202320,202441,121,39
0,54,202801,202921,120,39
0,54,203520,204001,481,42
0,54,208321,208800,479,52
0,54,209280,209761,481,52
0,54,217440,217560,120,42
0,54,218640,218760,120,46
0,54,219360,219480,120,47
0,54,220560,220680,120,50
0,54,221281,221520,239,51
0,54,222241,222480,239,52
0,54,239520,239640,120,57
0,54,255841,255960,119,35
0,54,256080,256200,120,29
0,54,259201,259320,119,37
0,54,262201,262320,119,45
0,54,262442,262561,119,45
0,54,266880,267121,241,38
0,54,272640,272881,241,38
0,54,274561,274681,120,47
0,54,275040,275162,122,48
0,54,278400,278520,120,47
0,54,278880,279000,120,48
0,55,16802,16921,119,35
0,55,18720,18852,132,39
0,55,21120,21600,480,37
0,55,22320,22441,121,30
0,55,22560,22680,120,30
0,55,23280,23520,240,40
0,55,25201,25440,239,44
0,55,91680,91800,120,35
0,55,93600,93732,132,39
0,55,96001,96481,480,37
0,55,97201,97320,119,30
0,55,97440,97560,120,30
0,55,98160,98402,242,40
0,55,100080,100322,242,44
0,55,169680,169802,122,46
0,55,169920,170161,241,58
0,55,172800,172921,121,41
0,55,173280,173400,120,41
0,55,173760,173880,120,41
0,55,174241,174361,120,41
0,55,182400,183360,960,38
0,55,185760,185880,120,42
0,55,186000,186120,120,37
0,55,189601,189720,119,37
0,55,189840,189960,120,33
0,55,191280,191402,122,34
0,55,192001,192120,119,39
0,55,193441,193560,119,42
0,55,193680,193800,120,37
0,55,197280,197400,120,37
0,55,197520,197640,120,33
0,55,198960,199080,120,34
0,55,199680,200161,481,44
0,55,200641,201120,479,44
0,55,201602,202080,478,43
0,55,202560,202680,120,42
0,55,203040,203160,120,39
0,55,203280,203400,120,46
0,55,214080,214561,481,53
0,55,215040,215161,121,42
0,55,215280,215400,120,34
0,55,215521,215640,119,34
0,55,215760,215881,121,34
0,55,216000,216120,120,42
0,55,216240,216362,122,34
0,55,217202,217440,238,42
0,55,219121,219360,239,46
0,55,239280,239400,120,53
0,55,253441,253560,119,45
0,55,253921,254040,119,45
0,55,257281,257400,119,35
0,55,257761,257881,120,35
0,55,258240,258361,121,30
0,55,258720,258842,122,34
0,55,262680,262800,120,42
0,55,262920,263041,121,42
0,55,275521,275640,119,48
0,55,276000,276121,121,49
0,55,279360,279480,120,52
0,55,279840,279960,120,49
0,55,286080,287040,960,40
0,56,22801,22920,119,30
0,56,33600,33841,241,34
0,56,35041,35281,240,30
0,56,37440,37920,480,33
0,56,41280,41521,241,34
0,56,42000,42120,120,28
0,56,47521,47641,120,56
0,56,59282,59401,119,39
0,56,66960,67080,120,39
0,56,67922,68041,119,46
0,56,68880,69001,121,46
0,56,97681,97800,119,30
0,56,108480,108722,242,34
0,56,109920,110160,240,30
0,56,112320,112801,481,33
0,56,116160,116401,241,34
0,56,116880,117000,120,28
0,56,122400,122520,120,57
0,56,134160,134280,120,39
0,56,141842,141961,119,39
0,56,142800,142920,120,46
0,56,143761,143881,120,46
0,56,166800,166920,120,52
0,56,167040,168001,961,66
0,56,175920,176040,120,45
0,56,176401,176520,119,45
0,56,216480,216601,121,34
0,56,216720,216840,120,34
0,57,5281,5340,59,37
0,57,11042,11280,238,37
0,57,15360,15481,121,37
0,57,15840,15960,120,35
0,57,16320,16440,120,36
0,57,18840,18974,134,40
0,57,20400,20520,120,37
0,57,20640,20761,121,37
0,57,20880,21001,121,37
0,57,23041,23280,239,46
0,57,24962,25201,239,51
0,57,26880,27120,240,60
0,57,27360,27601,241,60
0,57,27842,28080,238,61
0,57,28321,28560,239,62
0,57,29041,29131,90,55
0,57,29282,29371,89,55
0,57,29521,29612,91,55
0,57,29761,30180,419,58
0,57,30720,30960,240,34
0,57,32160,32400,240,29
0,57,35520,35760,240,34
0,57,36241,36480,239,26
0,57,36722,36960,238,27
0,57,37200,37440,240,27
0,57,38401,38640,239,34
0,57,39840,40080,240,29
0,57,42240,42721,481,30
0,57,44160,44640,480,38
0,57,46800,46920,120,50
0,57,47281,47401,120,50
0,57,48000,48120,120,45
0,57,53280,53400,120,35
0,57,53520,53641,121,31
0,57,57120,57240,120,45
0,57,57360,57481,121,40
0,57,58801,58920,119,41
0,57,59520,59640,120,48
0,57,60961,61080,119,35
0,57,61200,61320,120,31
0,57,64801,64921,120,45
0,57,65040,65160,120,40
0,57,66480,66602,122,41
0,57,67200,67680,480,45
0,57,68161,68640,479,45
0,57,69121,69361,240,52
0,57,72960,73440,480,39
0,57,80162,80220,58,37
0,57,85922,86160,238,37
0,57,90240,90360,120,37
0,57,90720,90840,120,35
0,57,91200,91320,120,36
0,57,93720,93854,134,40
0,57,95282,95400,118,37
0,57,95520,95640,120,37
0,57,95761,95882,121,37
0,57,97922,98160,238,46
0,57,99840,100080,240,51
0,57,101761,102000,239,60
0,57,102240,102480,240,60
0,57,102721,102960,239,61
0,57,103200,103440,240,62
0,57,103921,104010,89,55
0,57,104161,104251,90,55
0,57,104402,104492,90,55
0,57,104640,105060,420,58
0,57,105600,105840,240,34
0,57,107040,107280,240,29
0,57,110400,110641,241,34
0,57,111120,111360,240,26
0,57,111601,111841,240,27
0,57,112082,112320,238,27
0,57,113280,113520,240,34
0,57,114720,114960,240,29
0,57,117120,117601,481,30
0,57,119041,119520,479,38
0,57,121682,121800,118,52
0,57,122161,122280,119,51
0,57,122880,123000,120,56
0,57,128161,128280,119,35
0,57,128400,128520,120,31
0,57,132001,132121,120,45
0,57,132240,132360,120,40
0,57,133680,133802,122,41
0,57,134400,134521,121,48
0,57,135840,135960,120,35
0,57,136081,136201,120,31
0,57,139680,139800,120,45
0,57,139920,140041,121,40
0,57,141361,141480,119,41
0,57,142080,142560,480,45
0,57,143040,143520,480,45
0,57,144000,144240,240,52
0,57,147840,148320,480,39
0,57,159360,161280,1920,44
0,57,166320,166441,121,50
0,57,166560,166800,240,60
0,57,169200,169321,121,42
0,57,169440,169680,240,53
0,57,181440,181921,481,58
0,57,185280,185400,120,42
0,57,185521,185640,119,36
0,57,189120,189240,120,37
0,57,189361,189480,119,32
0,57,190200,190320,120,32
0,57,190441,190561,120,32
0,57,190680,190800,120,32
0,57,190920,191040,120,32
0,57,192960,193080,120,42
0,57,193201,193320,119,36
0,57,196800,196920,120,37
0,57,197041,197160,119,32
0,57,197880,198000,120,32
0,57,198120,198240,120,32
0,57,198361,198481,120,32
0,57,198601,198721,120,32
0,57,203520,204001,481,50
0,57,204241,204360,119,50
0,57,204480,204960,480,52
0,57,205200,205320,120,50
0,57,205440,205920,480,54
0,57,213840,213960,120,57
0,57,216961,217202,241,48
0,57,218881,219121,240,53
0,57,220800,221040,240,60
0,57,221281,221520,239,60
0,57,221762,222001,239,61
0,57,222241,222480,239,62
0,57,222960,223050,90,55
0,57,223200,223290,90,55
0,57,223441,223531,90,55
0,57,223681,224101,420,58
0,57,228000,228240,240,30
0,57,230400,230641,241,34
0,57,231360,231840,480,33
0,57,235681,235921,240,30
0,57,238081,238320,239,33
0,57,239040,239280,240,24
0,57,243602,243720,118,47
0,57,254400,254521,121,39
0,57,254881,255001,120,44
0,57,268322,268380,58,37
0,57,274082,274320,238,37
0,57,274800,274920,120,39
0,57,275280,275400,120,40
0,57,276480,276600,120,47
0,57,276961,277081,120,48
0,57,277440,277561,121,48
0,57,277921,278041,120,49
0,57,278641,278760,119,41
0,57,279120,279240,120,42
0,57,280321,280440,119,47
0,57,280800,280920,120,48
0,57,281280,281400,120,47
0,57,281760,281881,121,48
0,57,282961,283081,120,46
0,57,283921,284041,120,46
0,57,287040,288000,960,40
0,58,168001,168960,959,61
0,58,174960,175081,121,45
0,58,175440,175560,120,45
0,58,212880,213000,120,57
0,58,213360,213480,120,57
0,58,237120,237361,241,32
0,58,284640,284880,240,63
0,59,15240,15372,132,40
0,59,18962,19092,130,41
0,59,21120,21600,480,44
0,59,22320,22441,121,36
0,59,22560,22680,120,36
0,59,22801,22920,119,36
0,59,31201,31440,239,30
0,59,32640,32880,240,34
0,59,33360,33600,240,28
0,59,33841,34080,239,29
0,59,38880,39120,240,30
0,59,40320,40560,240,34
0,59,41040,41280,240,28
0,59,41521,41640,119,29
0,59,43680,44160,480,30
0,59,47040,47160,120,56
0,59,52801,52920,119,35
0,59,53042,53160,118,30
0,59,56640,56760,120,45
0,59,56882,57000,118,39
0,59,57720,57841,121,39
0,59,57960,58080,120,39
0,59,58201,58321,120,39
0,59,58441,58561,120,39
0,59,60480,60601,121,35
0,59,60721,60840,119,30
0,59,64320,64441,121,45
0,59,64561,64681,120,39
0,59,65401,65520,119,39
0,59,65640,65760,120,39
0,59,65880,66002,122,39
0,59,66120,66240,120,39
0,59,67922,68041,119,55
0,59,68880,69001,121,55
0,59,72720,72841,121,34
0,59,72960,73920,960,37
0,59,90120,90252,132,40
0,59,93842,93972,130,41
0,59,96001,96481,480,44
0,59,97201,97320,119,36
0,59,97440,97560,120,36
0,59,97681,97800,119,36
0,59,106081,106321,240,30
0,59,107520,107761,241,34
0,59,108240,108480,240,28
0,59,108722,108960,238,29
0,59,113761,114000,239,30
0,59,115200,115440,240,34
0,59,115920,116160,240,28
0,59,116401,116520,119,29
0,59,118560,119041,481,30
0,59,121920,122040,120,57
0,59,127680,127801,121,35
0,59,127921,128040,119,30
0,59,131520,131641,121,45
0,59,131761,131881,120,39
0,59,132601,132720,119,39
0,59,132840,132960,120,39
0,59,133080,133202,122,39
0,59,133320,133440,120,39
0,59,135361,135480,119,35
0,59,135602,135720,118,30
0,59,139200,139320,120,45
0,59,139442,139560,118,39
0,59,140280,140401,121,39
0,59,140520,140640,120,39
0,59,140761,140881,120,39
0,59,141001,141121,120,39
0,59,142800,142920,120,55
0,59,143761,143881,120,55
0,59,147600,147721,121,34
0,59,147840,148801,961,37
0,59,151682,153600,1918,44
0,59,165840,165960,120,46
0,59,166080,166320,240,58
0,59,168960,169200,240,47
0,59,173040,173160,120,41
0,59,173521,173641,120,41
0,59,174000,174121,121,41
0,59,174480,174600,120,41
0,59,180480,181440,960,65
0,59,184801,184920,119,42
0,59,185040,185160,120,34
0,59,188160,188281,121,44
0,59,188641,188761,120,37
0,59,188882,189000,118,30
0,59,191161,191280,119,34
0,59,191402,191521,119,34
0,59,192240,192361,121,29
0,59,192481,192601,120,42
0,59,192722,192840,118,34
0,59,195840,195960,120,44
0,59,196320,196440,120,37
0,59,196561,196680,119,30
0,59,198840,198960,120,34
0,59,199080,199200,120,34
0,59,199680,200161,481,52
0,59,206160,206281,121,54
0,59,206400,206880,480,56
0,59,207120,207241,121,53
0,59,207360,207840,480,60
0,59,213121,213240,119,66
0,59,213600,213721,121,63
0,59,214080,214561,481,64
0,59,229920,230160,240,29
0,59,253680,253801,121,39
0,59,254160,254280,120,39
0,59,275762,275881,119,40
0,59,276240,276360,120,40
0,59,279600,279721,121,43
0,59,280081,280200,119,40
0,59,285120,285361,241,63
0,60,186241,186360,119,42
0,60,186720,186841,121,42
0,60,187201,187320,119,36
0,60,187680,187800,120,40
0,60,191641,191760,119,32
0,60,191880,192001,121,32
0,60,193920,194040,120,42
0,60,194401,194520,119,42
0,60,194880,195000,120,36
0,60,195360,195480,120,40
0,60,199320,199442,122,32
0,60,199561,199680,119,32
0,60,213840,213960,120,57
0,60,236640,236880,240,30
0,61,5520,5581,61,30
0,61,11280,11520,240,32
0,61,15120,15252,132,40
0,61,15600,15720,120,26
0,61,16081,16201,120,28
0,61,16562,16681,119,26
0,61,17040,17160,120,30
0,61,19080,19212,132,42
0,61,30960,31201,241,27
0,61,31680,31921,241,32
0,61,32400,32640,240,26
0,61,34560,34801,241,34
0,61,36960,37200,240,30
